"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"1","Nikola Jokic","DEN","PF,C","1","2","1.1","0.3"
"2","Stephen Curry","GSW","PG,SG","1","4","2.4","0.8"
"3","James Harden","BKN","PG,SG","2","6","3.2","1.1"
"4","Luka Doncic","DAL","PG,SG","2","17","6.2","4.2"
"5","Karl-Anthony Towns","MIN","C","4","15","6.6","3.1"
"6","Damian Lillard","POR","PG","4","14","6.8","2.8"
"7","Giannis Antetokounmpo","MIL","PF,C","3","12","7.2","2.6"
"8","Kevin Durant","BKN","SF,PF","4","16","7.8","2.9"
"9","Jayson Tatum","BOS","SF,PF","5","12","8.5","2.1"
"10","Joel Embiid","PHI","PF,C","4","16","9.3","2.7"
"11","Bradley Beal","WAS","SG,SF","9","18","12.4","2.1"
"12","Anthony Davis","LAL","PF,C","9","17","12.4","2.2"
"13","Paul George","LAC","SF,PF,SG","9","19","12.8","3.0"
"14","Bam Adebayo","MIA","PF,C","10","19","15.5","2.9"
"15","Nikola Vucevic","CHI","C","7","22","15.7","5.0"
"16","Jimmy Butler","MIA","SF,PF,SG","13","24","16.5","3.3"
"17","Trae Young","ATL","PG","11","36","18.4","6.9"
"18","Domantas Sabonis","IND","PF,C","17","27","20.2","3.5"
"19","Michael Porter Jr.","DEN","SF,PF","14","32","21.0","5.5"
"20","Zach LaVine","CHI","SG,SF","13","30","21.5","5.5"
"21","Fred VanVleet","TOR","PG,SG","13","54","22.5","10.7"
"22","Rudy Gobert","UTH","C","11","32","22.6","6.2"
"23","Chris Paul","PHO","PG","20","29","24.5","3.2"
"24","Shai Gilgeous-Alexander","OKC","PG,SG","20","40","26.4","6.2"
"25","LaMelo Ball","CHA","PG,SG","18","45","27.4","8.3"
"26","Donovan Mitchell","UTH","PG,SG","21","34","27.9","4.2"
"27","Deandre Ayton","PHO","C","13","41","28.8","7.5"
"28","Khris Middleton","MIL","SF,PF,SG","25","37","28.9","3.7"
"29","Jaylen Brown","BOS","SG,SF","20","45","31.1","7.5"
"30","Devin Booker","PHO","SG,SF,PG","22","55","32.9","9.1"
"31","LeBron James","LAL","PG,SG,SF,PF","19","48","33.6","9.5"
"32","Clint Capela","ATL","C","23","44","35.3","5.8"
"33","Jrue Holiday","MIL","PG,SG","26","65","35.5","10.5"
"34","Tobias Harris","PHI","SF,PF","19","43","36.0","6.2"
"35","Richaun Holmes","SAC","PF,C","23","55","36.2","8.0"
"36","Myles Turner","IND","PF,C","20","48","37.1","6.7"
"37","Julius Randle","NYK","PF,C","27","67","38.4","10.4"
"38","Brandon Ingram","NOR","SF,PF","26","72","39.1","11.3"
"39","De'Aaron Fox","SAC","PG","23","57","41.9","11.1"
"40","Robert Williams III","BOS","C,PF","29","51","42.2","5.5"
"41","Kristaps Porzingis","DAL","PF,C","18","66","42.3","12.0"
"42","Christian Wood","HOU","PF,C","30","68","42.3","9.3"
"43","OG Anunoby","TOR","SF,PF","28","66","42.5","11.2"
"44","Jaren Jackson Jr.","MEM","PF,C DTD","32","56","44.2","7.2"
"45","John Collins","ATL","PF,C","45","60","47.8","4.0"
"46","Dejounte Murray","SAS","PG,SG DTD","38","64","48.4","8.0"
"47","Zion Williamson","NOR","PF OUT","24","81","48.5","18.8"
"48","CJ McCollum","POR","PG,SG","41","56","48.9","4.1"
"49","Mikal Bridges","PHO","SG,SF","26","63","50.0","9.2"
"50","Jonas Valanciunas","NOR","C","22","70","50.9","11.5"
"51","Lonzo Ball","CHI","PG,SG","39","69","52.6","6.7"
"52","Anthony Edwards","MIN","SG,SF","35","69","53.0","10.5"
"53","Jusuf Nurkic","POR","C DTD","46","66","54.5","6.0"
"54","Russell Westbrook III","LAL","PG","26","84","56.3","19.8"
"55","Tyrese Haliburton","SAC","PG,SG","39","81","57.2","10.9"
"56","DeMar DeRozan","CHI","SF,PF,SG","32","73","58.5","10.5"
"57","Ja Morant","MEM","PG","27","87","59.0","14.0"
"58","Draymond Green","GSW","PF,C","46","77","60.2","7.9"
"59","Kyle Lowry","MIA","PG","46","83","60.4","8.5"
"60","Malcolm Brogdon","IND","PG,SG","41","120","61.6","20.7"
"61","Gordon Hayward","CHA","SG,SF","47","75","62.4","7.5"
"62","Bogdan Bogdanovic","ATL","SF,PF,SG","58","79","65.2","6.4"
"63","Pascal Siakam","TOR","PF,C OUT","50","97","66.4","14.6"
"64","Darius Garland","CLE","PG,SG","52","98","66.5","11.8"
"65","Collin Sexton","CLE","PG,SG","60","81","67.9","5.0"
"66","Marcus Smart","BOS","PG,SG","59","119","77.7","15.3"
"67","D'Angelo Russell","MIN","PG,SG","60","123","78.0","16.1"
"68","Norman Powell","POR","SG,SF","63","106","79.7","13.7"
"69","Terry Rozier","CHA","PG,SG","47","71","58.6","8.3"
"70","Isaiah Stewart","DET","PF,C","33","74","58.9","11.3"
"71","Derrick White","SAS","PG,SG","46","77","62.1","10.6"
"72","Ben Simmons","PHI","PG","67","127","83.8","20.0"
"73","Jakob Poeltl","SAS","C","25","87","67.7","17.9"
"74","Jerami Grant","DET","SF,PF","50","86","70.5","10.9"
"75","Jarrett Allen","CLE","C","47","85","71.4","10.5"
"76","Mike Conley","UTH","PG","58","104","74.4","14.4"
"77","Chris Boucher","TOR","PF,C OUT","67","92","76.3","6.7"
"78","Kyrie Irving","BKN","PG,SG","27","203","98.6","54.9"
"79","Mitchell Robinson","NYK","C","59","104","78.5","11.5"
"80","Buddy Hield","SAC","SG,SF","69","87","79.5","6.0"
"81","Caris LeVert","IND","SG,SF OUT","56","119","79.7","19.6"
"82","Cade Cunningham","DET","PG,SG","71","111","80.0","10.9"
"83","Robert Covington","POR","PF,C,SF","52","97","80.3","11.7"
"84","Al Horford","BOS","PF,C","40","142","101.3","31.2"
"85","Brook Lopez","MIL","C","57","96","83.3","11.3"
"86","P.J. Washington","CHA","PF,C","76","94","83.5","5.0"
"87","Miles Bridges","CHA","SF,PF","64","93","84.4","8.6"
"88","Kevin Porter Jr.","HOU","SG,SF,PG","63","139","89.0","22.4"
"89","Kemba Walker","NYK","PG","75","143","89.9","18.3"
"90","Kyle Anderson","MEM","SF,PF","76","118","92.5","10.2"
"91","Evan Fournier","NYK","SG,SF","71","116","92.6","11.1"
"92","Kelly Olynyk","DET","PF,C","49","112","92.8","18.0"
"93","Andrew Wiggins","GSW","SG,SF","72","144","96.0","17.7"
"94","Spencer Dinwiddie","WAS","PG,SG","62","173","97.8","31.8"
"95","Harrison Barnes","SAC","SF,PF","81","129","97.9","12.8"
"96","Jordan Clarkson","UTH","PG,SG","79","126","98.6","11.3"
"97","Nickeil Alexander-Walker","NOR","SG,SF,PG","78","163","99.5","22.5"
"98","Nerlens Noel","NYK","PF,C","42","146","100.9","28.1"
"99","Devonte' Graham","NOR","PG,SG","82","137","102.3","17.6"
"100","Ivica Zubac","LAC","C","78","116","103.3","11.4"
"101","Saddiq Bey","DET","SF","73","116","103.6","11.4"
"102","Daniel Gafford","WAS","C,PF","80","169","106.1","22.0"
"103","T.J. McConnell","IND","PG,SG","79","147","108.4","17.3"
"104","Mason Plumlee","CHA","PF,C","77","129","109.1","14.4"
"105","Evan Mobley","CLE","C,PF","89","197","109.3","30.5"
"106","Wendell Carter Jr.","ORL","C","100","129","111.0","9.2"
"107","Reggie Jackson","LAC","PG,SG","86","149","111.7","16.8"
"108","RJ Barrett","NYK","SG,SF","82","155","114.5","21.5"
"109","Thaddeus Young","SAS","PF,C,SF","100","143","115.1","12.7"
"110","Joe Ingles","UTH","SG,SF,PF","92","150","116.7","15.0"
"111","Bojan Bogdanovic","UTH","SF,PF","86","147","117.4","17.5"
"112","Jalen Green","HOU","SG","95","202","118.7","30.1"
"113","Keldon Johnson","SAS","SF,PF","83","201","119.0","29.8"
"114","Jae'Sean Tate","HOU","SF,PF","94","144","119.1","15.5"
"115","De'Anthony Melton","MEM","PG,SG","85","145","120.6","16.2"
"116","Bobby Portis Jr.","MIL","PF,C","96","150","122.3","17.3"
"117","De'Andre Hunter","ATL","SF,PF","104","175","122.5","18.7"
"118","Jalen Suggs","ORL","PG,SG","97","226","122.9","36.7"
"119","Joe Harris","BKN","SG,SF","92","154","123.2","22.1"
"120","Duncan Robinson","MIA","SG,SF","95","157","125.9","19.3"
"121","Jordan Poole","GSW","PG,SG","89","183","126.4","35.0"
"122","Jonathan Isaac","ORL","SF,PF OUT","91","244","127.6","40.0"
"123","Larry Nance Jr.","POR","PF,C","107","166","128.5","17.1"
"124","Jaden McDaniels","MIN","PF,SF","105","162","129.3","17.4"
"125","Derrick Favors","OKC","C,PF","99","190","133.6","26.5"
"126","Mo Bamba","ORL","C","82","144","115.7","20.2"
"127","Kyle Kuzma","WAS","SF,PF","89","176","134.2","24.9"
"128","Chuma Okeke","ORL","PF","117","159","134.5","14.3"
"129","Dennis Schroder","BOS","PG","89","205","135.7","31.6"
"130","Lauri Markkanen","CLE","PF,C","118","183","137.2","19.7"
"131","Royce O'Neale","UTH","SF,PF","116","177","137.5","16.6"
"132","Kelly Oubre Jr.","CHA","SG,SF,PF","107","188","139.7","22.8"
"133","Marcus Morris Sr.","LAC","PF,C,SF","107","172","140.8","16.0"
"134","Steven Adams","MEM","C","112","209","141.5","26.1"
"135","Malik Beasley","MIN","PG,SG,SF","102","179","141.8","23.9"
"136","Patrick Williams","CHI","SF,PF","118","173","141.9","15.8"
"137","Montrezl Harrell","WAS","PF,C","128","163","141.9","11.3"
"138","Matisse Thybulle","PHI","SG,SF","98","175","143.3","22.2"
"139","Tyler Herro","MIA","PG,SG","111","182","144.1","19.1"
"140","Will Barton","DEN","SG,SF","134","165","144.4","9.7"
"141","Tim Hardaway Jr.","DAL","SG,SF","95","176","145.1","25.0"
"142","Isaiah Roby","OKC","C,PF","112","195","145.6","21.5"
"143","Danny Green","PHI","SG,SF","95","177","146.4","25.9"
"144","Dillon Brooks","MEM","SG,SF OUT","125","192","146.8","18.5"
"145","Klay Thompson","GSW","SG,SF OUT","98","237","147.1","37.9"
"146","Kevin Huerter","ATL","SG,SF","122","220","150.4","27.8"
"147","Seth Curry","PHI","PG,SG","117","190","152.4","17.3"
"148","Dorian Finney-Smith","DAL","SF,PF","110","196","152.5","24.8"
"149","Eric Bledsoe","LAC","PG,SG","117","177","152.6","15.2"
"150","Donte DiVincenzo","MIL","PG,SG OUT","126","183","153.4","15.2"
"151","Gary Trent Jr.","TOR","SG,SF","113","172","153.5","18.0"
"152","Andre Drummond","PHI","C","127","199","153.8","22.8"
"153","Aaron Gordon","DEN","SF,PF","122","214","156.6","24.9"
"154","Josh Giddey","OKC","PG,SG","102","179","141.0","25.0"
"155","Tyrese Maxey","PHI","PG,SG","115","222","157.1","30.3"
"156","Daniel Theis","HOU","PF,C","138","178","158.5","11.4"
"157","Khem Birch","TOR","PF,C","118","169","143.7","17.0"
"158","Danilo Gallinari","ATL","SF,PF","143","189","160.2","13.9"
"159","Desmond Bane","MEM","PG,SG,SF","111","203","161.1","28.9"
"160","Aleksej Pokusevski","OKC","SF,PF","117","174","145.9","20.1"
"161","Derrick Rose","NYK","PG,SG","126","194","162.5","20.8"
"162","Nicolas Claxton","BKN","C,PF","119","245","164.5","38.9"
"163","Facundo Campazzo","DEN","PG","134","196","167.0","18.5"
"164","Ricky Rubio","CLE","PG","114","200","168.5","23.1"
"165","Monte Morris","DEN","PG,SG","144","183","169.6","11.5"
"166","Rui Hachimura","WAS","SF,PF","124","239","169.9","28.1"
"167","Jae Crowder","PHO","SF,PF","135","199","170.3","19.8"
"168","Terrence Ross","ORL","SG,SF","100","202","172.2","30.0"
"169","Xavier Tillman","MEM","PF,C","91","218","174.2","32.1"
"170","Isaac Okoro","CLE","SG,SF","145","211","174.3","17.0"
"171","James Wiseman","GSW","C OUT","131","289","176.4","41.3"
"172","Killian Hayes","DET","PG,SG DTD","134","240","177.6","30.8"
"173","Josh Richardson","BOS","SG,SF","130","196","178.7","18.9"
"174","Justin Holiday","IND","SG,SF","115","208","179.7","30.7"
"175","Kawhi Leonard","LAC","SG,SF,PF","97","187","149.5","27.7"
"176","Brandon Clarke","MEM","SF,PF,C","162","192","180.1","8.5"
"177","John Wall","HOU","PG","90","328","170.6","67.8"
"178","Thomas Bryant","WAS","C OUT","102","273","180.9","47.7"
"179","Davis Bertans","WAS","PF,C","141","212","181.6","19.2"
"180","Luguentz Dort","OKC","SG,SF","157","205","183.7","13.8"
"181","Cole Anthony","ORL","PG","142","228","185.1","21.1"
"182","Enes Kanter","BOS","C","162","248","186.4","25.4"
"183","Otto Porter Jr.","GSW","SF,PF","125","211","186.6","23.8"
"184","Marvin Bagley III","SAC","PF,C","134","223","177.7","23.3"
"185","T.J. Warren","IND","SF,PF OUT","132","259","190.2","32.5"
"186","Goran Dragic","TOR","PG,SG","179","206","191.9","8.7"
"187","Coby White","CHI","PG,SG OUT","131","235","194.6","25.7"
"188","Kevin Love","CLE","PF,C","93","298","194.7","46.5"
"189","Serge Ibaka","FA","PF,C FA","88","327","197.9","57.2"
"190","Darius Bazley","OKC","SF,PF","144","232","184.2","23.8"
"191","Hassan Whiteside","UTH","PF,C","162","254","197.9","22.7"
"192","Alec Burks","NYK","SG,SF","184","223","198.3","11.6"
"193","Scottie Barnes","TOR","SF,PF","122","250","172.8","42.8"
"194","Blake Griffin","BKN","PF,C","118","220","199.0","28.5"
"195","Cam Reddish","ATL","SG,SF","123","244","199.8","37.3"
"196","Cody Zeller","POR","C","122","239","200.2","33.1"
"197","Cameron Johnson","PHO","SF,PF","167","226","201.4","17.2"
"198","Moses Brown","DAL","C","167","250","192.7","24.0"
"199","Victor Oladipo","MIA","SG,SF","156","293","193.1","41.4"
"200","LaMarcus Aldridge","BKN","PF,C","129","249","205.0","36.7"
"201","Immanuel Quickley","NYK","PG","169","216","194.9","15.9"
"202","Markelle Fultz","ORL","PG,SG OUT","175","267","197.2","26.0"
"203","Kendrick Nunn","LAL","PG,SG","183","226","207.8","11.8"
"204","Juan Toscano-Anderson","GSW","SF,PF","187","216","197.4","8.8"
"205","Tomas Satoransky","NOR","PG,SG","194","241","209.2","15.3"
"206","Jamal Murray","DEN","PG,SG OUT","149","222","186.4","21.3"
"207","Dwight Howard","LAL","C","172","247","211.3","18.2"
"208","Paul Millsap","BKN","PF,C","185","254","213.1","18.9"
"209","Carmelo Anthony","LAL","SF,PF","180","257","214.6","19.1"
"210","Precious Achiuwa","TOR","SF,PF,C","133","262","205.8","46.6"
"211","Delon Wright","ATL","PG,SG","171","250","216.4","21.2"
"212","Rudy Gay","UTH","SF,PF","199","233","216.9","10.5"
"213","Malachi Flynn","TOR","PG","168","237","208.2","20.0"
"214","Maxi Kleber","DAL","PF,C","138","257","217.6","32.9"
"215","Alperen Sengun","HOU","C","130","219","183.7","33.2"
"216","Nicolas Batum","LAC","SF,PF,SG","85","260","184.7","55.4"
"217","Cameron Payne","PHO","PG,SG","138","221","186.6","29.4"
"218","Jeremy Lamb","IND","SG,SF","195","245","221.2","17.5"
"219","Terance Mann","LAC","SF,SG","124","224","191.3","33.5"
"220","Lonnie Walker IV","SAS","SG,SF","195","234","215.9","10.5"
"221","Theo Maledon","OKC","PG","187","252","218.1","19.8"
"222","Naz Reid","MIN","C","105","228","180.0","42.1"
"223","Luke Kennard","LAC","SG,SF","185","258","228.9","19.4"
"224","Eric Gordon","HOU","SG,SF","179","251","229.8","20.5"
"225","Tristan Thompson","SAC","PF,C","134","294","230.0","37.6"
"226","Dwight Powell","DAL","PF,C","136","248","224.4","32.7"
"227","Josh Hart","NOR","SG,SF","153","266","204.3","36.6"
"228","Reggie Bullock","DAL","SG,SF","152","231","205.4","29.0"
"229","Jaxson Hayes","NOR","C","210","251","234.4","10.6"
"230","Dewayne Dedmon","MIA","C","187","257","235.0","20.1"
"231","Kenyon Martin Jr.","HOU","SF,PF","167","235","207.9","22.1"
"232","Josh Jackson","DET","SG,SF","202","286","229.7","27.6"
"233","Lou Williams","ATL","PG,SG","200","263","220.9","19.5"
"234","Jalen Brunson","DAL","PG,SG","168","260","209.6","36.0"
"235","P.J. Tucker","MIA","PF,C,SF","227","259","238.8","9.0"
"236","DeAndre Jordan","LAL","C","214","278","234.0","17.9"
"237","Patrick Beverley","MIN","PG,SG","213","261","241.1","11.7"
"238","Kevon Looney","FA","PF,C FA","213","331","238.7","33.7"
"239","Jalen McDaniels","CHA","PF,C","196","266","228.4","19.7"
"240","Bruce Brown Jr.","FA","SG,SF FA","152","246","207.3","40.4"
"241","Dario Saric","PHO","PF,C OUT","204","241","221.7","13.7"
"242","Jonathan Kuminga","GSW","SF,PF","218","256","233.9","12.2"
"243","Doug McDermott","SAS","SF,PF","165","244","194.8","29.0"
"244","Obi Toppin","NYK","SF,PF","205","268","235.1","17.2"
"245","Elfrid Payton","PHO","PG","211","245","226.0","10.2"
"246","Moses Moody","GSW","SF,SG","222","292","242.7","21.7"
"247","Nemanja Bjelica","GSW","PF","206","281","236.0","20.9"
"248","Ty Jerome","OKC","PG,SG","225","282","243.2","16.4"
"249","Jarred Vanderbilt","MIN","PF,C","121","248","202.0","44.4"
"250","Shake Milton","PHI","PG,SG","174","262","219.0","30.9"
"251","Trevor Ariza","LAL","SG,SF,PF OUT","142","264","230.7","41.6"
"252","Kentavious Caldwell-Pope","WAS","PG,SG,SF","109","264","218.4","61.3"
"253","DeMarcus Cousins","FA","PF,C FA","206","329","237.8","42.4"
"254","Gary Harris","ORL","SG,SF","236","275","250.4","13.3"
"255","Talen Horton-Tucker","LAL","SG,SF OUT","177","266","220.2","32.5"
"256","Hamidou Diallo","DET","SG,SF","213","290","240.0","29.7"
"257","Tony Bradley","CHI","C","136","267","218.5","49.6"
"258","Derrick Jones Jr.","CHI","SG,SF","238","280","254.4","14.7"
"259","Marc Gasol","MEM","C","227","332","252.5","36.7"
"260","Pat Connaughton","MIL","SG,SF","182","268","221.3","32.5"
"261","Marquese Chriss","POR","PF,C","232","243","237.8","4.4"
"262","Troy Brown Jr.","CHI","SG,SF","230","246","238.0","6.1"
"263","JaVale McGee","PHO","C","186","274","238.2","29.9"
"264","Grayson Allen","MIL","SG,SF","218","271","239.6","18.8"
"265","Chris Duarte","IND","SG","184","211","199.0","11.2"
"266","Devin Vassell","SAS","SG,SF","179","240","200.3","28.1"
"267","Markieff Morris","MIA","PF,C","133","277","242.4","54.9"
"268","Jeff Green","DEN","SF,PF","181","287","243.4","41.6"
"269","Cheick Diallo","FA","PF,C FA","224","330","250.4","40.0"
"270","Justise Winslow","LAC","PF,PG,SF","239","286","254.0","15.4"
"271","Danuel House Jr.","HOU","SF,PF,SG","241","287","254.7","15.2"
"272","Goga Bitadze","IND","C","146","287","233.3","55.0"
"273","Patty Mills","BKN","PG","204","270","234.0","28.2"
"274","Alex Caruso","CHI","PG,SG","181","243","212.0","25.3"
"275","Jeff Teague","FA","PG,SG FA","232","334","257.2","38.7"
"276","Cedi Osman","CLE","SF,PF","205","260","243.0","22.2"
"277","Trey Murphy III","NOR","SG,SF","176","277","226.7","41.2"
"278","Taj Gibson","NYK","PF,C","164","288","234.0","51.9"
"279","Aron Baynes","FA","C FA","247","333","267.2","33.1"
"280","Wayne Ellington","LAL","SG,SF","227","244","234.3","7.1"
"281","Kenrich Williams","OKC","SF,PF","229","278","251.5","19.6"
"282","Zach Collins","SAS","PF,C OUT","246","255","251.8","3.7"
"283","Cory Joseph","DET","PG","212","280","236.7","30.7"
"284","Payton Pritchard","BOS","PG","214","279","243.7","26.8"
"285","JaMychal Green","DEN","PF,C","243","290","268.0","19.5"
"286","Oshae Brissett","IND","SF,PF","200","282","246.3","34.3"
"287","Anfernee Simons","POR","PG,SG","233","289","260.3","27.3"
"288","R.J. Hampton Jr.","ORL","PG,SG","194","283","247.7","38.6"
"289","Deni Avdija","WAS","SG,SF,PF","245","275","261.3","11.9"
"290","Davion Mitchell","SAC","SG,PG","222","287","248.7","27.8"
"291","Onyeka Okongwu","ATL","PF,C OUT","219","230","224.5","5.5"
"292","Furkan Korkmaz","PHI","SG,SF","235","276","253.0","17.1"
"293","George Hill","MIL","PG,SG","245","289","265.8","19.9"
"294","Taurean Prince","MIN","SF,PF","221","291","267.0","28.6"
"295","Terence Davis II","SAC","SG,SF","225","288","257.3","25.7"
"296","Bryn Forbes","SAS","PG,SG","215","290","259.0","32.0"
"297","Franz Wagner","ORL","SG,SF","219","294","262.0","31.6"
"298","Sterling Brown","DAL","SG,SF","216","292","263.7","33.9"
"299","Ish Smith","CHA","PG","252","295","273.5","15.2"
"300","Willie Cauley-Stein","FA","PF,C FA","236","299","274.0","24.8"
"301","Kent Bazemore","LAL","SG,SF","240","296","276.0","22.1"
"302","Tyus Jones","MEM","PG","265","271","268.3","2.5"
"303","Landry Shamet","PHO","PG,SG","260","297","276.8","13.2"
"304","Josh Okogie","MIN","SG,SF","263","298","276.8","13.1"
"305","Cameron Thomas","BKN","SG","249","261","255.0","6.0"
"306","Alex Len","SAC","PF,C","248","300","275.3","21.3"
"307","Gorgui Dieng","FA","PF,C FA","232","299","265.5","33.5"
"308","Aaron Nesmith","BOS","SG,SF","271","285","278.3","5.7"
"309","Gabe Vincent","MIA","PG,SG","258","303","279.3","18.4"
"310","Malik Monk","LAL","PG,SG","279","309","287.0","12.7"
"311","Robin Lopez","ORL","C","241","301","271.0","30.0"
"312","Frank Kaminsky III","PHO","C,PF","249","306","282.7","24.4"
"313","Mike Muscala","OKC","PF,C","242","302","272.0","30.0"
"314","Kira Lewis Jr.","NOR","PG,SG","265","307","283.3","17.6"
"315","Torrey Craig","IND","SG,SF","247","305","276.0","29.0"
"316","Maurice Harkless","SAC","SF,PF","263","308","285.3","18.4"
"317","Eric Paschall","UTH","PF,C","261","310","288.3","20.4"
"318","Raul Neto","WAS","PG,SG","277","304","287.0","12.1"
"319","Sekou Doumbouya","BKN","SF,PF","262","312","287.0","25.0"
"320","James Johnson","BKN","PF,C,SF","282","315","293.7","15.1"
"321","D.J. Augustin","HOU","PG","272","313","293.3","16.8"
"322","Kris Dunn","MEM","PG,SG","267","314","290.5","23.5"
"323","Max Strus","MIA","SG,SF","284","284","284.0","0.0"
"324","Austin Rivers","DEN","PG,SG","274","311","293.3","15.2"
"325","Harry Giles III","FA","PF,C FA","269","336","302.5","33.5"
"326","Rajon Rondo","LAL","PG","274","316","295.0","21.0"
"327","Nah'Shon Hyland","DEN","PG,SG","276","276","276.0","0.0"
"328","PJ Dozier","DEN","PG,SG,SF","283","318","299.3","14.4"
"329","Jarrett Culver","MEM","PG,SG,SF","281","317","299.0","18.0"
"330","Rodney Hood","MIL","SG,SF","283","319","301.0","18.0"
"331","Isaiah Jackson","IND","PF","284","320","302.0","18.0"
"332","Kai Jones","CHA","C,PF","285","321","303.0","18.0"
"333","Naji Marshall","NOR","SF","285","285","285.0","0.0"
"334","Marvin Williams","FA","SF,PF RET","286","335","310.5","24.5"
"335","Kevin Knox II","NYK","SF,PF","288","325","306.5","18.5"
"336","Nassir Little","POR","SF","288","324","306.0","18.0"
"337","Dennis Smith Jr.","POR","PG","289","326","307.5","18.5"
"338","Dwayne Bacon","NYK","SG,SF","290","322","306.0","16.0"
"339","Damion Lee","GSW","SG,SF","291","323","307.0","16.0"
"340","Tony Snell","POR","SG,SF","296","296","296.0","0.0"
"341","Abdel Nader","PHO","SF,PF","300","300","300.0","0.0"
""
""